step,row_count,group_count,group_size_counts,status_counts,row_direct_abs_error_mean,row_direct_abs_error_max,row_focal_abs_error_mean,row_focal_abs_error_max,group_direct_abs_error_mean,group_direct_abs_error_max,group_focal_abs_error_mean,group_focal_abs_error_max,normalized_kendall_distance_mean,normalized_kendall_distance_max,spearman_rank_corr_mean,z_advantage_corr_mean,z_advantage_sign_flip_rate_mean,mean_abs_z_advantage_delta_mean,top1_same_rate
1,1024,64,"{""16"": 64}","{""llm_generation_error"": 211, ""parse_fail"": 10, ""render_engine_error"": 15, ""success"": 788}",1.1998672906849372,3.885416666666666,1.4737776228392514,5.984322680834623,1.5265566588595902e-16,8.881784197001252e-16,9.71445146547012e-17,4.440892098500626e-16,0.1037109375,0.26666666666666666,0.8972316011773332,0.9035152966006987,0.154296875,0.3315037777705734,0.734375
2,1024,64,"{""16"": 64}","{""llm_generation_error"": 247, ""parse_fail"": 7, ""render_engine_error"": 17, ""request_error"": 1, ""success"": 752}",1.2816333472573975,3.872685416666667,1.5290887522001149,6.223603302046612,2.498001805406602e-16,8.881784197001252e-16,3.469446951953614e-17,4.440892098500626e-16,0.09654947916666667,0.35,0.9042417306116943,0.9208270143759113,0.1455078125,0.3051052020314177,0.78125
3,1024,64,"{""16"": 64}","{""llm_generation_error"": 230, ""parse_fail"": 11, ""render_engine_error"": 16, ""success"": 767}",1.2505133908936839,3.8590125925925913,1.4861478553171055,5.440973628952617,2.914335439641036e-16,8.881784197001252e-16,1.0061396160665481e-16,8.881784197001252e-16,0.10052083333333334,0.225,0.9025376543369464,0.9152665136506936,0.14453125,0.3106134299646055,0.796875
4,1024,64,"{""16"": 64}","{""llm_generation_error"": 213, ""parse_fail"": 10, ""render_engine_error"": 18, ""success"": 783}",1.225514290073443,3.628224305555555,1.514614857441005,5.340699443147022,1.249000902703301e-16,8.881784197001252e-16,5.204170427930421e-17,4.440892098500626e-16,0.101953125,0.30833333333333335,0.896048894339745,0.9106206380483414,0.1435546875,0.3170840066885306,0.734375
5,1024,64,"{""16"": 64}","{""llm_generation_error"": 189, ""parse_fail"": 13, ""render_engine_error"": 14, ""success"": 808}",1.1751148760695684,3.694940277777778,1.4681013132741363,5.2717489536311195,2.498001805406602e-16,8.881784197001252e-16,9.71445146547012e-17,4.440892098500626e-16,0.11940104166666667,0.37916666666666665,0.8734073486421942,0.9004437227036427,0.173828125,0.34082743119098635,0.734375
6,1024,64,"{""16"": 64}","{""judge_fail"": 1, ""llm_generation_error"": 138, ""parse_fail"": 12, ""render_engine_error"": 14, ""success"": 859}",1.053495972661417,3.8454103703703706,1.438294632040732,5.261452271539851,1.249000902703301e-16,8.881784197001252e-16,9.71445146547012e-17,8.881784197001252e-16,0.11705729166666667,0.2833333333333333,0.8844474535570127,0.8936212621874606,0.1826171875,0.36855829485568836,0.671875
7,1024,64,"{""16"": 64}","{""llm_generation_error"": 153, ""parse_fail"": 9, ""render_engine_error"": 36, ""success"": 826}",1.0506318525484029,4.075308888888889,1.3784274299150596,5.236005536012727,2.7755575615628914e-16,8.881784197001252e-16,4.85722573273506e-17,4.440892098500626e-16,0.1234375,0.29583333333333334,0.8693341859221725,0.8931252927790387,0.1572265625,0.36206434050759284,0.6875
8,1024,64,"{""16"": 64}","{""llm_generation_error"": 117, ""parse_fail"": 3, ""render_engine_error"": 25, ""success"": 879}",0.9619598639271247,3.74074074074074,1.3368822746822606,4.788225278040897,2.498001805406602e-16,8.881784197001252e-16,4.163336342344337e-17,4.440892098500626e-16,0.137109375,0.275,0.8514634469515516,0.8728080489199849,0.1767578125,0.38713299255248196,0.609375
9,1024,64,"{""16"": 64}","{""llm_generation_error"": 129, ""parse_fail"": 8, ""render_engine_error"": 36, ""success"": 851}",0.96670021979115,3.9120368055555557,1.332217269624264,4.683001993040031,1.3877787807814457e-16,8.881784197001252e-16,6.938893903907228e-17,8.881784197001252e-16,0.12330729166666667,0.31666666666666665,0.8755002033456475,0.8863592916378404,0.158203125,0.3674496003915592,0.734375
10,1024,64,"{""16"": 64}","{""llm_generation_error"": 94, ""parse_fail"": 7, ""render_engine_error"": 7, ""success"": 916}",0.8983520506908276,3.861111111111111,1.3215923264596767,5.373016552741037,1.942890293094024e-16,8.881784197001252e-16,1.3183898417423734e-16,8.881784197001252e-16,0.13229166666666667,0.3333333333333333,0.861299176102198,0.8801693215285453,0.171875,0.380874950656048,0.609375
