experiment,step,stale_tail,row_count,group_count,valid_rate,valid_group_rate,request_error_rate,direct_valid,focal_valid,final_valid,objective_valid,subjective_valid,ui_spatial_score,color_harmony_and_theme_fit,typography_rhythm_and_readability,first_view_content_messaging,ui_weight,subjective_weight,max_weight_mean,top1_same_rate,spearman_mean,z_sign_flip_rate,direct_group_var_mean,focal_group_var_mean,status_counts
baseline_v3_n16_Qwen3-4B,20,0,1024,64,0.9921875,1.0,0.0,8.910629921259853,6.8089215221559956,8.910629921259853,9.506233595800525,7.719422572178478,7.09251968503937,8.061515748031496,7.7826771653543325,7.314074803149606,0.4981700059874627,0.1672766643747697,0.7904462363956153,0.609375,0.8834184795889134,0.1702755905511811,0.1400982473449289,1.2116568255271785,"{""llm_generation_error"": 2, ""parse_fail"": 8, ""success"": 1014}"
baseline_v3_n16_Qwen3-4B,21,0,1024,64,0.9912109375,1.0,0.0,8.833333333333346,6.6753638935405375,8.833333333333346,9.479474548440065,7.541050903119868,6.991133004926108,7.8310344827586205,7.664532019704434,7.127586206896551,0.5083333831381184,0.16388883944298707,0.7752866518567929,0.765625,0.8622499601729273,0.1960591133004926,0.19300842519243103,1.1616422121629053,"{""llm_generation_error"": 4, ""parse_fail"": 9, ""success"": 1011}"
baseline_v3_n16_Qwen3-4B,22,0,1024,64,0.99609375,1.0,0.0,8.796612200435728,6.656063939219591,8.796612200435728,9.492156862745098,7.405522875816994,7.080392156862745,7.588529411764706,7.571176470588235,7.056862745098039,0.42791469027817247,0.19069510200698112,0.7425687237868334,0.84375,0.895885200345605,0.16372549019607843,0.27815381217715834,1.34989148075041,"{""llm_generation_error"": 6, ""parse_fail"": 4, ""success"": 1014}"
baseline_v3_n16_Qwen3-4B,23,0,1024,64,0.984375,1.0,0.0,8.800253527336883,6.694623172503243,8.800253527336883,9.43287037037037,7.535019841269841,6.902777777777778,7.783234126984127,7.583035714285715,7.238789682539682,0.5360879316417921,0.15463733020015308,0.7485794660907581,0.84375,0.9096531398713955,0.18253968253968253,0.5042858678366632,1.6949528102657154,"{""llm_generation_error"": 15, ""parse_fail"": 13, ""render_engine_error"": 3, ""success"": 993}"
baseline_v3_n16_Qwen3-4B,24,0,1024,64,0.9921875,1.0,0.0,8.874146981627286,6.849025560542882,8.874146981627286,9.505905511811024,7.610629921259843,7.108267716535433,7.8219488188976385,7.716437007874015,7.293503937007874,0.4906307178643866,0.1697897596845548,0.747175400765053,0.796875,0.9117291908984516,0.13976377952755906,0.19844158950617294,1.2017916086380693,"{""llm_generation_error"": 3, ""parse_fail"": 8, ""success"": 1013}"
focal_v3_n16_e0_t1_g5_Qwen3-4B,15,0,1024,64,0.953125,1.0,0.0,9.099734061930793,7.7028423004335,7.7028423004335,9.622534836065574,8.054132513661203,7.897540983606557,7.994159836065574,8.191290983606558,7.976946721311475,0.32096591547206227,0.22633131743344506,0.5439803446370142,0.828125,0.9114560568666268,0.1260245901639344,0.1308705047495133,0.973596747558323,"{""parse_fail"": 30, ""render_engine_error"": 18, ""success"": 976}"
focal_v3_n16_e0_t1_g5_Qwen3-4B,16,0,1024,64,0.9091796875,1.0,0.0,9.100668301706644,7.906052560235578,7.906052560235578,9.562674489795919,8.176655925528108,8.152524167561761,8.130612244897959,8.29871106337272,8.100644468313641,0.2794360227430077,0.2359621912096214,0.5220754007180699,0.765625,0.8215149827836944,0.19011815252416756,0.1382472928325023,0.6368589888163458,"{""llm_generation_error"": 1, ""parse_fail"": 34, ""render_engine_error"": 59, ""success"": 930}"
focal_v3_n16_e0_t1_g5_Qwen3-4B,17,0,1024,64,0.96875,1.0,0.0,9.167871684587832,7.800438457179776,7.800438457179776,9.6326375,8.238340053763443,7.828629032258065,8.21421370967742,8.299193548387096,8.201612903225806,0.4205000838752962,0.19316644805141614,0.5759708733165513,0.828125,0.940886055905887,0.11290322580645161,0.0935564124135423,0.5944733153659302,"{""llm_generation_error"": 1, ""parse_fail"": 29, ""render_engine_error"": 3, ""success"": 991}"
focal_v3_n16_e0_t1_g5_Qwen3-4B,18,0,1024,64,0.9521484375,1.0,0.0,9.192486917378933,7.8459475343047,7.8459475343047,9.648422683760684,8.280615384615386,7.915897435897436,8.29271794871795,8.316307692307692,8.232820512820513,0.4092014164973477,0.19693285794074253,0.5911218765556665,0.921875,0.9282228882334473,0.13230769230769232,0.130369809495896,0.7514149392076334,"{""llm_generation_error"": 1, ""parse_fail"": 43, ""render_engine_error"": 6, ""success"": 974}"
focal_v3_n16_e0_t1_g5_Qwen3-4B,20,0,1024,64,0.9443359375,1.0,0.0,9.25279788578653,7.970698769995692,7.970698769995692,9.697690451568425,8.363012754222682,8.20268872802482,8.387797311271974,8.329989658738366,8.371251292657703,0.31725610539386134,0.22758125680064337,0.5849412932830803,0.9375,0.9451323161380034,0.13236814891416754,0.09892541413533947,0.7403260805332808,"{""parse_fail"": 35, ""render_engine_error"": 22, ""success"": 967}"
baseline_v3_n16_3e-6_Qwen3-4B,40,0,1024,64,0.9853515625,1.0,0.0,9.298028851448088,8.04749337410805,9.298028851448088,9.750578130161877,8.39293029402048,8.503468780971259,8.285728444003963,8.485728444003964,8.407333994053518,0.28863884304937604,0.2371203856502079,0.6593456156262596,0.90625,0.9284701867468896,0.15758176412289396,0.14041886431434883,1.068947490491712,"{""parse_fail"": 13, ""render_engine_error"": 2, ""success"": 1009}"
baseline_v3_n16_3e-6_Qwen3-4B,41,0,1024,64,0.9833984375,1.0,0.0,9.335815954981824,8.164231034942382,9.335815954981824,9.754054948692486,8.49933796756041,8.524329692154916,8.473187686196624,8.559086395233367,8.46573982125124,0.34090945316353577,0.21969684894548794,0.6875640349685076,0.953125,0.9402831587264067,0.19662363455809334,0.08741848776599924,0.8127569795100148,"{""parse_fail"": 16, ""render_engine_error"": 1, ""success"": 1007}"
baseline_v3_n16_3e-6_Qwen3-4B,42,0,1024,64,0.978515625,1.0,0.0,9.374927921933944,8.28010203447307,9.374927921933944,9.780771789753826,8.56324018629408,8.684630738522953,8.526646706586828,8.596706586826349,8.566367265469061,0.27474818830252734,0.24175060389915715,0.6534751290692932,0.984375,0.9275437592780639,0.1437125748502994,0.08693580792583352,0.7798428667144154,"{""parse_fail"": 19, ""render_engine_error"": 3, ""success"": 1002}"
baseline_v3_n16_3e-6_Qwen3-4B,43,0,1024,64,0.9697265625,1.0,0.0,9.405203088284685,8.37293440546819,9.405203088284685,9.80597515944948,8.603658945955019,8.835850956696879,8.551863041289023,8.609063444108761,8.650050352467272,0.21611676960770257,0.261294410130766,0.6348376007813373,0.90625,0.9225900171305519,0.1581067472306143,0.0973995690000502,0.7544356914169114,"{""parse_fail"": 24, ""render_engine_error"": 7, ""success"": 993}"
