experiment,step,stale_tail,row_count,group_count,valid_rate,valid_group_rate,request_error_rate,direct_valid,focal_valid,final_valid,objective_valid,subjective_valid,ui_spatial_score,color_harmony_and_theme_fit,typography_rhythm_and_readability,first_view_content_messaging,ui_weight,subjective_weight,max_weight_mean,top1_same_rate,spearman_mean,z_sign_flip_rate,direct_group_var_mean,focal_group_var_mean,status_counts
baseline_v3_n16_Qwen3-4B,1,0,1024,64,0.9951171875,1.0,0.0,7.900927728710054,5.418828086745661,7.900927728710054,8.872834183840366,5.957114818449461,6.0549558390579,5.758096172718352,6.33307163886163,5.7801766437684,0.3001119078731026,0.2323141339075998,0.6136693161999811,0.53125,0.8664801523780972,0.16683022571148184,2.2918979045833536,4.582331342395719,"{""llm_generation_error"": 104, ""parse_fail"": 5, ""success"": 915}"
baseline_v3_n16_Qwen3-4B,2,0,1024,64,0.9873046875,1.0,0.0,8.5967125068689,6.330648372754342,8.5967125068689,9.383644427959117,7.022848664688428,6.718100890207715,6.894362017804154,7.261721068249258,6.91246290801187,0.44889855429452963,0.18365989817159786,0.7003425844435991,0.734375,0.8649984966566919,0.18199802176063304,0.3204073116553537,1.702319221180123,"{""llm_generation_error"": 5, ""parse_fail"": 13, ""success"": 1006}"
baseline_v3_n16_Qwen3-4B,3,0,1024,64,0.986328125,1.0,0.0,8.933793025302538,7.021452828174396,8.933793025302538,9.498841353135314,7.803696369636964,7.095049504950495,7.884653465346535,7.907623762376239,7.618811881188119,0.5805692000011143,0.13981026578535952,0.7352480119666578,0.921875,0.9117742237263472,0.1613861386138614,0.19882993390484507,1.531085957474599,"{""llm_generation_error"": 2, ""parse_fail"": 14, ""success"": 1008}"
baseline_v3_n16_Qwen3-4B,4,0,1024,64,0.9921875,1.0,0.0,8.942495888014008,6.959053448730261,8.942495888014008,9.504672309711287,7.818143044619423,7.070866141732283,7.830216535433071,7.844192913385828,7.78001968503937,0.6303732473177298,0.12320891734071704,0.7756713864838505,0.890625,0.897964051288148,0.17913385826771652,0.17050699588113477,1.5724850578359928,"{""parse_fail"": 8, ""success"": 1016}"
baseline_v3_n16_Qwen3-4B,5,0,1024,64,0.984375,1.0,0.0,9.017311067019412,7.148963935341697,9.017311067019412,9.508588955026456,8.034755291005292,7.176587301587301,8.120535714285714,7.907043650793652,8.076686507936508,0.6806190403635698,0.10646027693484039,0.7927714784950014,0.8125,0.935833933620325,0.1746031746031746,0.28449269077064626,1.7353186217472476,"{""llm_generation_error"": 6, ""parse_fail"": 15, ""render_engine_error"": 1, ""success"": 1002}"
baseline_v3_n16_Qwen3-4B,6,0,1024,64,0.9775390625,1.0,0.0,9.007952047952045,7.20378497106796,9.007952047952045,9.536420246420246,7.951015651015652,7.27072927072927,7.999000999000999,7.951948051948053,7.9020979020979025,0.612437444593777,0.1291872241832496,0.7551737974069914,0.890625,0.913809814145012,0.1848151848151848,0.19980481185624543,1.5392302491539662,"{""llm_generation_error"": 2, ""parse_fail"": 23, ""success"": 999}"
baseline_v3_n16_Qwen3-4B,7,0,1024,64,0.9794921875,1.0,0.0,8.966306901517662,7.258391813610203,8.966306901517662,9.520680026586906,7.857560651379195,7.349950149551346,7.878564307078763,7.835692921236292,7.858424725822532,0.5551048176134626,0.1482983899644996,0.7084935782331159,0.875,0.9328471513441329,0.16450648055832504,0.4987411687641203,2.118949071179092,"{""llm_generation_error"": 11, ""parse_fail"": 16, ""render_engine_error"": 5, ""success"": 992}"
baseline_v3_n16_Qwen3-4B,8,0,1024,64,0.984375,1.0,0.0,9.041743827160506,7.396807046390645,9.041743827160506,9.561507936507937,8.00221560846561,7.448412698412699,8.019345238095237,7.9907738095238106,7.996527777777778,0.5598679948633888,0.14671066139590921,0.6909120181340119,0.859375,0.9278948477074692,0.15079365079365079,0.23228648230929452,1.4539579903564717,"{""llm_generation_error"": 4, ""parse_fail"": 16, ""success"": 1004}"
baseline_v3_n16_Qwen3-4B,9,0,1024,64,0.9833984375,1.0,0.0,8.981558722277388,7.201624915949198,8.981558722277388,9.558534707050645,7.827606752730884,7.374379344587885,7.8632571996027805,7.8842105263157904,7.7353525322740815,0.4814659724872577,0.1728446757739838,0.721090886765433,0.78125,0.91397306386739,0.13604766633565044,0.15435562173277526,1.2069173844330252,"{""llm_generation_error"": 1, ""parse_fail"": 17, ""success"": 1006}"
baseline_v3_n16_Qwen3-4B,10,0,1024,64,0.9814453125,1.0,0.0,9.047042564953019,7.44363249476951,9.047042564953019,9.595688225538971,7.949751243781094,7.574129353233831,7.975422885572139,7.9902487562189055,7.883582089552239,0.47435342557548027,0.17521552480817237,0.6819828554410158,0.921875,0.9227620336473498,0.14925373134328357,0.15049109191544255,1.2609158757115295,"{""parse_fail"": 18, ""render_engine_error"": 1, ""success"": 1005}"
