experiment,steps,step_count,step,stale_tail,row_count,group_count,valid_rate,valid_group_rate,request_error_rate,direct_valid,focal_valid,final_valid,objective_valid,subjective_valid,ui_spatial_score,color_harmony_and_theme_fit,typography_rhythm_and_readability,first_view_content_messaging,ui_weight,subjective_weight,max_weight_mean,top1_same_rate,spearman_mean,z_sign_flip_rate,direct_group_var_mean,focal_group_var_mean
Qwen3-1.7B-Base,"57,58,59,60,61",5,59.0,0.0,512.0,64.0,0.998828125,1.0,0.0,9.9760393685329,9.928542095278818,9.9760393685329,8.313366140444085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26272295119069455,1.0,0.9998422049017044,0.0027777777777777775,0.04278571496769531,0.34245052054227915
baseline_0414_Qwen3-1.7B,"54,55,56,57,58",5,56.0,0.0,512.0,64.0,0.81328125,1.0,0.0,8.082115667575742,5.226989879620796,8.082115667575742,9.356860499698524,0.0,7.035531153368913,0.0,0.0,0.0,0.11763859821808079,0.0,0.1177659862226909,0.7125,0.8089831703721819,0.14290049010054545,0.5769697228445527,1.5534930323070788
baseline_0414_Qwen3-1.7B-Base,"71,72,73,74,75",5,73.0,0.0,512.0,64.0,0.940625,1.0,0.0,7.954213061855445,5.047630512144423,7.954213061855445,9.338999169432382,0.0,6.57515907784082,0.0,0.0,0.0,0.13419370579411088,0.0,0.13419370579411088,0.70625,0.8293840668310288,0.15111946371468604,0.4593728146070079,1.4007496853276253
baseline_0414_Qwen3-4B,1,1,1.0,0.0,512.0,64.0,0.9375,1.0,0.0,6.834409128787893,3.9838625006094386,6.834409128787893,8.522284791666669,0.0,5.808333333333334,0.0,0.0,0.0,0.09909054755655286,0.0,0.10521332197023293,0.75,0.8830442810256827,0.11875,2.7837734213030507,2.7755562742156723
baseline_3_Qwen3-4B,"64,65,66,67,68",5,66.0,0.0,512.0,64.0,0.809375,1.0,0.0,8.524093113130741,6.184784073936953,8.524093113130741,9.67844192430431,0.0,7.740271939860577,0.0,0.0,0.0,nan,nan,nan,0.765625,0.858481277762883,0.12107730925557536,3.05419523636393,1.646147683181234
baseline_4_Qwen3-4B,"21,22,23,24,25",5,23.0,0.0,512.0,64.0,0.881640625,1.0,0.0,7.952733674127179,4.960307633095535,7.952733674127179,9.380430890964288,0.0,6.928621869758716,0.0,0.0,0.0,nan,nan,nan,0.70625,0.8458682456245719,0.12973945897214795,0.6693468894911793,1.6372969799160182
baseline_Qwen3-1.7B-Base,"1,2",2,1.5,0.0,512.0,64.0,0.9833984375,1.0,0.0,8.629758919095888,6.485773292756261,8.629758919095888,7.191465765913245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6896446249797799,0.953125,0.9766161596316446,0.05658948364956018,2.044769600130499,13.498257150644022
baseline_a11y_Qwen3-1.7B-Base,"23,24,25,26,27",5,25.0,0.0,512.0,64.0,0.968359375,1.0,0.0,6.153085104630342,2.678079888264134,6.153085104630342,8.830935674059605,0.0,5.425393407317009,0.0,0.0,0.0,0.059936957155975856,0.0,0.06006188316208799,0.75625,0.8607201464927243,0.13589914796368438,0.9161477026378184,1.352173268819768
baseline_v3_Qwen3-1.7B-Base,"136,137,138,139,140",5,138.0,0.0,512.0,64.0,0.98515625,1.0,0.0,9.11491959846535,7.775373873165714,9.11491959846535,9.632443480843337,0.0,7.814987369454246,0.0,0.0,0.0,0.33233634887001484,0.21844241171924866,0.439464075085518,0.890625,0.9447032604585383,0.08760870684792256,0.1250053075820538,0.7285245824417326
baseline_v3_n16_0422_Qwen3-1.7B-Base,"102,103,104,105,106",5,104.0,0.0,1024.0,64.0,0.9751953125,1.0,0.0,9.129304052209969,7.838946678545518,9.129304052209969,9.639669104547451,0.0,7.85456424484295,0.0,0.0,0.0,0.3192411789764399,0.22294642043152613,0.4281398521842319,0.89375,0.9604799896841684,0.08113424970741337,0.1103656462914897,0.6708618698644246
