experiment,step,stale_tail,row_count,group_count,valid_rate,valid_group_rate,request_error_rate,direct_valid,focal_valid,final_valid,objective_valid,subjective_valid,ui_spatial_score,color_harmony_and_theme_fit,typography_rhythm_and_readability,first_view_content_messaging,ui_weight,subjective_weight,max_weight_mean,top1_same_rate,spearman_mean,z_sign_flip_rate,direct_group_var_mean,focal_group_var_mean,status_counts
Qwen3-1.7B-Base,57,0,512,64,1.0,1.0,0.0,9.939655351562502,9.832416415013949,9.939655351562502,8.283046126302084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30093964408664364,1.0,1.0,0.0,0.15469865482060546,1.037412554666557,"{""llm_generation_error"": 5, ""success"": 507}"
Qwen3-1.7B-Base,58,0,512,64,0.998046875,1.0,0.0,9.974265753424657,9.92058420474948,9.974265753424657,8.311888127853882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28131512795868185,1.0,0.9992110245085221,0.0,0.03266123773789063,0.30476992083957505,"{""render_engine_error"": 1, ""success"": 511}"
Qwen3-1.7B-Base,59,0,512,64,1.0,1.0,0.0,9.988878046875,9.960253723013842,9.988878046875,8.3240650390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24224120749588623,1.0,1.0,0.0,0.010747116307421874,0.17773988598368598,"{""success"": 512}"
Qwen3-1.7B-Base,60,0,512,64,0.998046875,1.0,0.0,9.98512156555773,9.953144335607876,9.98512156555773,8.320934637964776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2595025874415304,1.0,1.0,0.013888888888888888,0.00950576226855468,0.10354162772395492,"{""render_engine_error"": 1, ""success"": 511}"
Qwen3-1.7B-Base,61,0,512,64,0.998046875,1.0,0.0,9.992276125244619,9.976311798008945,9.992276125244619,8.326896771037182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22961618897073058,1.0,1.0,0.0,0.006315803704003902,0.08878861349762278,"{""render_engine_error"": 1, ""success"": 511}"
baseline_0414_Qwen3-1.7B,54,0,512,64,0.89453125,1.0,0.0,8.043165204446208,5.242218532250011,8.043165204446208,9.317127474526927,0.0,6.85589519650655,0.0,0.0,0.0,0.1427251420084366,0.0,0.1427251420084366,0.671875,0.8087755182516227,0.1331877729257642,0.6107176640033233,1.4959760204698525,"{""llm_generation_error"": 3, ""parse_fail"": 10, ""render_engine_error"": 44, ""success"": 455}"
baseline_0414_Qwen3-1.7B,55,0,512,64,0.748046875,1.0,0.0,8.182209684310465,5.561105746253383,8.182209684310465,9.394233855526544,0.0,7.096605744125326,0.0,0.0,0.0,0.13320812889623174,0.0,0.13320812889623174,0.71875,0.8031495056323378,0.1618798955613577,0.3755421220042868,1.355278372071819,"{""parse_fail"": 9, ""render_engine_error"": 120, ""success"": 383}"
baseline_0414_Qwen3-1.7B,56,0,512,64,0.873046875,1.0,0.0,8.075702582875737,5.189115644263791,8.075702582875737,9.369697837434748,0.0,7.087248322147651,0.0,0.0,0.0,0.10646576385535703,0.0,0.10703008154171953,0.703125,0.8264356927530412,0.12304250559284116,0.39929052081810856,1.3139032449408818,"{""llm_generation_error"": 1, ""parse_fail"": 16, ""render_engine_error"": 49, ""success"": 446}"
baseline_0414_Qwen3-1.7B,57,0,512,64,0.80078125,1.0,0.0,8.099664478935694,5.194635697293869,8.099664478935694,9.372840162601625,0.0,7.117073170731707,0.0,0.0,0.0,0.10718301109344136,0.0,0.10718301109344136,0.75,0.8154017782851964,0.16097560975609757,0.7396972961384218,1.946408931006816,"{""llm_generation_error"": 3, ""parse_fail"": 10, ""render_engine_error"": 92, ""success"": 407}"
baseline_0414_Qwen3-1.7B,58,0,512,64,0.75,1.0,0.0,8.009836387310605,4.9478737780429265,8.009836387310605,9.330403168402775,0.0,7.020833333333333,0.0,0.0,0.0,0.09861094523693718,0.0,0.09868356757362522,0.71875,0.7911533569387117,0.13541666666666666,0.7596010112586228,1.6558985930460257,"{""llm_generation_error"": 5, ""parse_fail"": 11, ""render_engine_error"": 117, ""success"": 379}"
baseline_0414_Qwen3-1.7B-Base,71,0,512,64,0.953125,1.0,0.0,7.930282004470933,5.072448035553526,7.930282004470933,9.3131331284153,0.0,6.405737704918033,0.0,0.0,0.0,0.14392969081236093,0.0,0.14392969081236093,0.765625,0.8577477709682875,0.16188524590163936,0.455195572165425,1.4371773558340781,"{""llm_generation_error"": 1, ""parse_fail"": 7, ""render_engine_error"": 17, ""success"": 487}"
